name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients
classic margherita pizza,100000,45,2000,2008-01-01,"['italian', 'vegetarian', 'dinner', 'baking']","[410.0, 20.5, 32.8, 41.0, 17.5, 8.2, 49.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A simple Neapolitan-style pizza with fresh basil and mozzarella.,"['flour', 'tomato', 'mozzarella', 'basil', 'olive oil', 'yeast', 'salt']",7
spaghetti aglio e olio,100001,20,2001,2008-02-07,"['italian', 'vegetarian', 'quick', 'dinner', 'pasta']","[350.0, 17.5, 28.0, 35.0, 15.0, 7.0, 42.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Garlic and oil pasta that comes together in minutes.,"['spaghetti', 'garlic', 'olive oil', 'chili flakes', 'parsley', 'salt']",6
creamy mushroom risotto,100002,40,2002,2008-03-15,"['italian', 'vegetarian', 'dinner', 'comfort-food']","[405.0, 20.2, 32.4, 40.5, 17.5, 8.1, 48.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Slow-stirred risotto with earthy mushrooms.,"['arborio rice', 'mushroom', 'onion', 'parmesan', 'butter', 'white wine', 'stock']",7
chicken tikka masala,100003,55,2003,2008-04-21,"['indian', 'dinner', 'spicy', 'curry']","[455.0, 22.8, 36.4, 45.5, 20.0, 9.1, 54.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Grilled chicken in a spiced creamy tomato sauce.,"['chicken', 'yogurt', 'tomato', 'onion', 'garlic', 'ginger', 'garam masala', 'cream']",8
chana masala,100004,35,2004,2008-05-28,"['indian', 'vegetarian', 'vegan', 'curry', 'dinner']","[435.0, 21.8, 34.8, 43.5, 20.0, 8.7, 52.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A tangy chickpea curry with warming spices.,"['chickpeas', 'tomato', 'onion', 'garlic', 'ginger', 'cumin', 'coriander', 'chili']",8
vegetable biryani,100005,60,2005,2008-07-04,"['indian', 'vegetarian', 'dinner', 'rice']","[460.0, 23.0, 36.8, 46.0, 20.0, 9.2, 55.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Fragrant layered rice with mixed vegetables.,"['basmati rice', 'carrot', 'peas', 'onion', 'yogurt', 'garam masala', 'saffron', 'mint']",8
beef tacos,100006,30,2006,2008-08-10,"['mexican', 'dinner', 'quick', 'spicy']","[430.0, 21.5, 34.4, 43.0, 20.0, 8.6, 51.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Weeknight ground beef tacos with fresh toppings.,"['beef', 'tortilla', 'onion', 'tomato', 'cheese', 'cumin', 'chili', 'lettuce']",8
black bean quesadilla,100007,20,2007,2008-09-16,"['mexican', 'vegetarian', 'quick', 'lunch']","[350.0, 17.5, 28.0, 35.0, 15.0, 7.0, 42.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Crispy quesadillas stuffed with beans and cheese.,"['black beans', 'tortilla', 'cheese', 'onion', 'bell pepper', 'cumin']",6
guacamole,100008,15,2008,2008-10-23,"['mexican', 'vegetarian', 'vegan', 'snack', 'quick', 'no-cook']","[345.0, 17.2, 27.6, 34.5, 15.0, 6.9, 41.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Fresh chunky guacamole for dipping.,"['avocado', 'lime', 'onion', 'tomato', 'cilantro', 'salt']",6
chicken fried rice,100009,25,2009,2008-11-29,"['chinese', 'dinner', 'quick']","[425.0, 21.2, 34.0, 42.5, 20.0, 8.5, 51.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A fast stir-fried rice using leftover rice.,"['rice', 'chicken', 'egg', 'soy sauce', 'peas', 'carrot', 'garlic', 'green onion']",8
kung pao tofu,100010,30,2010,2009-01-05,"['chinese', 'vegetarian', 'vegan', 'spicy', 'dinner']","[395.0, 19.8, 31.6, 39.5, 17.5, 7.9, 47.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']","Sticky, spicy tofu with crunchy peanuts.","['tofu', 'peanuts', 'bell pepper', 'soy sauce', 'garlic', 'chili', 'ginger']",7
egg drop soup,100011,15,2011,2009-02-11,"['chinese', 'quick', 'soup', 'lunch']","[345.0, 17.2, 27.6, 34.5, 15.0, 6.9, 41.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A silky soup that is ready in minutes.,"['egg', 'stock', 'corn starch', 'green onion', 'soy sauce', 'ginger']",6
miso ramen,100012,40,2012,2009-03-20,"['japanese', 'dinner', 'soup', 'comfort-food']","[440.0, 22.0, 35.2, 44.0, 20.0, 8.8, 52.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A warming bowl of miso ramen with a soft egg.,"['ramen noodles', 'miso', 'stock', 'egg', 'green onion', 'garlic', 'ginger', 'corn']",8
teriyaki salmon,100013,25,2013,2009-04-26,"['japanese', 'dinner', 'quick', 'seafood']","[390.0, 19.5, 31.2, 39.0, 17.5, 7.8, 46.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Pan-seared salmon glazed in teriyaki.,"['salmon', 'soy sauce', 'honey', 'garlic', 'ginger', 'rice', 'sesame']",7
vegetable tempura,100014,35,2014,2009-06-02,"['japanese', 'vegetarian', 'fried']","[400.0, 20.0, 32.0, 40.0, 17.5, 8.0, 48.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']","Light, crispy battered vegetables.","['flour', 'carrot', 'sweet potato', 'zucchini', 'soda water', 'oil', 'salt']",7
