user_id,recipe_id,date,rating,review
1,100007,2015-03-07,3,Decent but nothing special.
1,100001,2016-04-21,3,"It was okay, needed more seasoning."
1,100047,2018-02-23,5,"Loved this, will make again!"
1,100017,2018-01-21,4,Delicious and simple.
1,100015,2016-07-23,5,"Great flavors, highly recommend."
1,100014,2015-11-23,5,"Loved this, will make again!"
1,100008,2016-07-23,5,A new family favorite.
1,100006,2015-07-29,4,A new family favorite.
1,100034,2017-01-05,3,"It was okay, needed more seasoning."
2,100038,2015-06-11,4,"Great flavors, highly recommend."
2,100016,2017-01-10,5,Delicious and simple.
2,100002,2015-05-23,5,Delicious and simple.
2,100046,2016-08-15,3,"It was okay, needed more seasoning."
2,100029,2015-07-26,5,So easy and tasty.
2,100034,2017-01-17,4,"Great flavors, highly recommend."
3,100023,2015-05-27,5,Delicious and simple.
3,100022,2017-12-29,5,So easy and tasty.
3,100013,2017-08-04,5,So easy and tasty.
3,100042,2018-02-14,4,Delicious and simple.
3,100017,2015-04-25,4,A new family favorite.
4,100002,2016-10-06,4,Perfect for a weeknight.
4,100020,2017-03-21,4,"Great flavors, highly recommend."
4,100025,2017-07-28,5,Delicious and simple.
4,100017,2016-05-20,4,So easy and tasty.
4,100004,2016-06-22,5,Perfect for a weeknight.
5,100037,2015-08-13,3,"It was okay, needed more seasoning."
5,100027,2017-05-14,4,So easy and tasty.
5,100049,2017-02-20,5,"Great flavors, highly recommend."
5,100025,2017-12-19,5,"Great flavors, highly recommend."
5,100023,2015-01-24,4,Perfect for a weeknight.
5,100014,2018-01-04,5,"Loved this, will make again!"
5,100008,2016-11-27,5,Delicious and simple.
5,100032,2015-11-20,4,"Great flavors, highly recommend."
5,100031,2016-06-23,5,Delicious and simple.
6,100048,2017-02-04,5,So easy and tasty.
6,100011,2017-12-22,5,Perfect for a weeknight.
6,100032,2016-10-25,5,Perfect for a weeknight.
6,100006,2017-01-13,5,"Loved this, will make again!"
6,100040,2016-05-05,5,A new family favorite.
6,100019,2015-06-11,3,Good base recipe to build on.
6,100045,2015-05-22,3,Decent but nothing special.
6,100047,2015-09-15,5,Perfect for a weeknight.
7,100042,2017-05-16,5,Perfect for a weeknight.
7,100030,2016-02-16,5,Perfect for a weeknight.
7,100035,2017-02-03,5,"Great flavors, highly recommend."
7,100010,2017-07-13,5,Perfect for a weeknight.
7,100016,2015-05-12,4,So easy and tasty.
8,100001,2015-05-01,3,Good base recipe to build on.
8,100037,2016-11-07,4,"Loved this, will make again!"
8,100035,2016-07-24,3,"It was okay, needed more seasoning."
8,100014,2018-01-09,5,So easy and tasty.
8,100048,2018-03-26,4,Perfect for a weeknight.
8,100046,2017-04-13,5,"Great flavors, highly recommend."
9,100006,2015-04-21,5,Delicious and simple.
9,100042,2015-07-21,5,Delicious and simple.
9,100027,2016-11-25,3,Good base recipe to build on.
9,100022,2016-05-24,5,"Loved this, will make again!"
9,100026,2017-07-07,4,Perfect for a weeknight.
10,100027,2017-06-26,5,"Loved this, will make again!"
